;Total;0 – 9;10 – 19;20 – 29;30 – 39;40 – 49;50 – 59;60 – 69;70 – 79;80 – 89;90 – 99;100 und älter
Ganze Stadt; 515 600; 45 200; 41 650; 83 450; 97 600; 77 600; 63 700; 46 300; 33 750; 19 600; 6 450;  300
Kreis 1; 5 950;  300;  300; 1 150; 1 300;  900;  600;  450;  450;  300;  150;–
Kreis 2; 43 100; 4 250; 4 700; 5 550; 6 600; 6 550; 6 200; 4 000; 2 850; 1 750;  650;  50
Wollishofen; 24 000; 2 200; 2 750; 2 900; 3 050; 3 650; 3 850; 2 450; 1 650; 1 100;  400;–
Leimbach; 7 950;  850;  950;  900; 1 150; 1 150; 1 050;  750;  600;  300;  100;–
Enge; 11 150; 1 200;  950; 1 750; 2 400; 1 700; 1 350;  800;  550;  350;  150;–
Kreis 3; 58 550; 5 250; 4 150; 9 950; 13 550; 8 600; 6 200; 4 700; 3 400; 2 050;  700;  50
Alt-Wiedikon; 20 350; 1 850; 1 350; 3 950; 5 300; 3 000; 1 950; 1 400;  950;  500;  150;–
Friesenberg; 14 500; 1 550; 1 500; 1 750; 2 300; 2 050; 1 650; 1 550; 1 200;  750;  250;–
Sihlfeld; 23 650; 1 900; 1 300; 4 200; 6 000; 3 500; 2 650; 1 750; 1 250;  800;  350;–
Kreis 4; 32 000; 2 150; 1 500; 5 850; 8 100; 5 650; 3 800; 2 400; 1 650;  800;  150;–
Werd; 4 850;  450;  250;  800; 1 350;  750;  500;  350;  250;  150;  50;–
Langstrasse; 12 550;  550;  250; 2 350; 3 650; 2 300; 1 500;  950;  700;  250;  50;–
Hard; 14 550; 1 150; 1 000; 2 700; 3 100; 2 550; 1 800; 1 100;  700;  400;  100;–
Kreis 5; 19 500; 1 400; 1 000; 3 350; 4 900; 2 950; 2 350; 1 700; 1 200;  550;  150;–
Gewerbeschule; 10 400;  700;  500; 1 800; 2 650; 1 500; 1 100;  900;  750;  400;  100;–
Escher Wyss; 9 100;  700;  500; 1 550; 2 200; 1 450; 1 250;  800;  450;  150;  50;–
Kreis 6; 39 950; 3 550; 3 450; 7 350; 7 850; 5 750; 4 350; 3 450; 2 600; 1 250;  300;–
Unterstrass; 28 200; 2 650; 2 600; 5 250; 5 550; 4 100; 3 000; 2 350; 1 750;  850;  200;–
Oberstrass; 11 750;  900;  850; 2 100; 2 300; 1 650; 1 400; 1 150;  900;  450;  100;–
Kreis 7; 44 500; 4 000; 3 800; 5 950; 6 850; 6 100; 5 500; 4 700; 3 850; 2 550; 1 150;  50
Fluntern; 10 100;  900; 1 000; 1 450; 1 300; 1 250; 1 300; 1 250;  950;  550;  200;–
Hottingen; 12 600; 1 150;  950; 1 900; 2 300; 1 750; 1 450; 1 250; 1 000;  650;  250;–
Hirslanden; 8 400;  650;  500; 1 150; 1 650; 1 250;  950;  750;  650;  500;  300;–
Witikon; 13 450; 1 300; 1 400; 1 500; 1 600; 1 850; 1 800; 1 450; 1 200;  850;  400;  50
Kreis 8; 19 650; 1 450; 1 500; 2 900; 3 650; 2 850; 2 500; 2 000; 1 500;  900;  350;–
Seefeld; 6 050;  500;  500; 1 000; 1 250;  800;  700;  600;  450;  200;  50;–
Mühlebach; 6 950;  450;  450;  950; 1 350; 1 100; 1 000;  750;  500;  300;  100;–
Weinegg; 6 600;  500;  550; 1 000; 1 050;  950;  800;  600;  550;  400;  200;–
Kreis 9; 67 750; 5 900; 5 650; 9 200; 11 650; 11 350; 10 050; 6 400; 4 250; 2 550;  800;  50
Albisrieden; 26 400; 2 250; 2 300; 3 700; 4 000; 3 900; 3 900; 2 800; 1 850; 1 200;  450;–
Altstetten; 41 350; 3 650; 3 300; 5 500; 7 600; 7 450; 6 150; 3 600; 2 400; 1 350;  350;–
Kreis 10; 45 800; 3 800; 3 700; 7 050; 7 950; 6 250; 5 800; 4 700; 3 550; 2 150;  900;  50
Höngg; 27 550; 2 500; 2 600; 4 150; 3 900; 3 750; 3 550; 2 900; 2 300; 1 350;  500;  50
Wipkingen; 18 250; 1 300; 1 100; 2 900; 4 000; 2 500; 2 200; 1 750; 1 250;  800;  350;–
Kreis 11; 95 050; 8 800; 7 850; 17 550; 17 800; 14 350; 11 150; 8 050; 5 700; 3 050;  700;–
Affoltern; 31 500; 3 200; 3 100; 5 900; 5 300; 4 300; 3 500; 2 800; 2 000; 1 100;  250;–
Oerlikon; 28 300; 2 150; 1 850; 6 100; 6 000; 4 250; 3 200; 2 150; 1 550;  800;  250;–
Seebach; 35 250; 3 400; 2 950; 5 550; 6 500; 5 850; 4 450; 3 100; 2 200; 1 100;  200;–
Kreis 12; 43 800; 4 300; 4 050; 7 550; 7 400; 6 400; 5 200; 3 800; 2 800; 1 750;  500;–
Saatlen; 12 000; 1 250; 1 300; 2 050; 2 100; 1 800; 1 450; 1 000;  650;  300;  50;–
Schwamendingen-Mitte; 14 100; 1 300; 1 100; 2 850; 2 750; 2 150; 1 600; 1 100;  800;  450;  100;–
Hirzenbach; 17 700; 1 750; 1 650; 2 700; 2 550; 2 450; 2 150; 1 650; 1 350;  950;  400;–
