store,address,latitude,longitude,Kreis,Kreis Area (km^2),Kreis Population,Kreis Density (population/km^2),Median value of taxable income
coop,"Mühlackerstrasse 199, 8046",47.4255113,8.4969846,11,13.42,76975,5736,55.3
lidl,"Hofwiesenstrasse 350, 8050",47.4103508,8.543040099999999,11,13.42,76975,5736,55.3
lidl,"Ohmstrasse 11, 8050",47.4103403,8.5457409,11,13.42,76975,5736,55.3
lidl,"Wehntalerstrasse 625, 8046",47.4222854,8.4991959,11,13.42,76975,5736,55.3
migros,"Hofwiesenstrasse 350 - 354, 8050",47.4105681,8.542987,11,13.42,76975,5736,55.3
migros,"Schaffhauserstrasse 470, 8052",47.419507,8.5484557,11,13.42,76975,5736,55.3
migros,"Jonas-Furrer-Strasse 21, 8046",47.4203349,8.508801199999999,11,13.42,76975,5736,55.3
aldi,"Überlandstrasse 441, 8051",47.4059625,8.5918852,12,5.97,32654,5470,44.67
coop,"Saatlenstrasse 12, 8051",47.4048386,8.5718702,12,5.97,32654,5470,44.67
coop,"Hirzenbachstrasse 40, 8051",47.4034781,8.5893149,12,5.97,32654,5470,44.67
coop,"Wallisellenstrasse 333, 8050",47.4111982,8.562505699999999,12,5.97,32654,5470,44.67
lidl,"Überlandstrasse 381, 8051",47.4078131,8.585103199999999,12,5.97,32654,5470,44.67
migros,"Winterthurerstrasse 524, 8051",47.403942,8.572517399999999,12,5.97,32654,5470,44.67
coop,"Uetlibergstrasse 20, 8045",47.3647466,8.5208808,3,8.65,50104,5792,58.32
coop,"Birmensdorferstrasse 200, 8003",47.3707958,8.5160521,3,8.65,50104,5792,58.32
coop,"Friesenbergplatz 3, 8045",47.360785,8.5065898,3,8.65,50104,5792,58.32
coop,"Birmensdorferstrasse 310, 8055",47.3699656,8.509094,3,8.65,50104,5792,58.32
coop,"Badenerstrasse 333, 8003",47.37771410000001,8.5110951,3,8.65,50104,5792,58.32
coop,"Kalanderplatz 1, 8045",47.3581442,8.5225083,3,8.65,50104,5792,58.32
lidl,"Grubenstrasse 28, 8045",47.3617687,8.51472,3,8.65,50104,5792,58.32
migros,"Giesshübelstrasse 65, 8045",47.35826350000001,8.5177964,3,8.65,50104,5792,58.32
migros,"Birmensdorferstrasse 140, 8003",47.3701818,8.520143599999999,3,8.65,50104,5792,58.32
migros,"Birmensdorferstrasse 320, 8055",47.3698928,8.5083039,3,8.65,50104,5792,58.32
coop,"Badenerstrasse 15, 8004",47.3733855,8.530586200000002,4,2.9,29023,10008,52.2
coop,"Europaallee 5, 8001",47.3780286,8.534917499999999,4,2.9,29023,10008,52.2
coop,"Hohlstrasse 35, 8004",47.3771023,8.5265009,4,2.9,29023,10008,52.2
coop,"Badenerstrasse 244, 8004",47.3759271,8.517500799999999,4,2.9,29023,10008,52.2
migros,"Wengistrasse 7, 8004",47.3749724,8.5230257,4,2.9,29023,10008,52.2
migros,"Sihlpassage, 8004",47.3784015,8.535615,4,2.9,29023,10008,52.2
migros,"Badenerstrasse 376, 8004",47.37910189999999,8.5087853,4,2.9,29023,10008,52.2
coop,"Universitätstrasse 73, 8006",47.38252190000001,8.5478132,6,5.1,35355,6932,74.13
coop,"Universitätstrasse 101, 8006",47.3839665,8.5480536,6,5.1,35355,6932,74.13
coop,"Milchbuckstrasse 1 - 5, 8057",47.3954544,8.540429699999999,6,5.1,35355,6932,74.13
migros,"Winterthurerstrasse 2 - 4, 8006",47.3860795,8.5487063,6,5.1,35355,6932,74.13
