;Total;0 – 9;10 – 19;20 – 29;30 – 39;40 – 49;50 – 59;60 – 69;70 – 79;80 – 89;90 – 99;100 und älter
Ganze Stadt; 523 850; 44 200; 41 850; 84 200; 99 700; 74 250; 65 250; 49 050; 35 450; 22 350; 7 200;  350
Kreis 1; 5 950;  300;  350; 1 150; 1 300;  900;  650;  450;  400;  300;  100;–
Kreis 2; 43 650; 4 050; 4 400; 5 850; 6 950; 5 750; 6 150; 4 700; 3 050; 1 950;  700;  50
Wollishofen; 24 300; 2 050; 2 500; 3 200; 3 350; 3 000; 3 750; 3 000; 1 800; 1 200;  450;  50
Leimbach; 8 000;  800;  950;  850; 1 150; 1 200; 1 050;  850;  650;  400;  150;–
Enge; 11 350; 1 200;  950; 1 800; 2 500; 1 600; 1 350;  900;  600;  350;  150;–
Kreis 3; 59 700; 5 350; 4 350; 9 800; 14 150; 8 500; 6 350; 4 550; 3 600; 2 300;  800;  50
Alt-Wiedikon; 20 600; 1 800; 1 400; 4 000; 5 550; 2 900; 2 000; 1 250; 1 000;  550;  150;–
Friesenberg; 15 100; 1 600; 1 600; 1 600; 2 350; 2 250; 1 750; 1 500; 1 300;  850;  250;–
Sihlfeld; 24 000; 1 900; 1 350; 4 150; 6 300; 3 350; 2 600; 1 800; 1 250;  900;  400;–
Kreis 4; 32 250; 2 000; 1 550; 5 850; 8 250; 5 100; 4 250; 2 450; 1 650;  950;  200;–
Werd; 4 900;  450;  250;  800; 1 400;  700;  500;  350;  250;  150;  50;–
Langstrasse; 12 650;  500;  250; 2 300; 3 700; 2 050; 1 750;  950;  700;  350;  50;–
Hard; 14 750; 1 100; 1 050; 2 700; 3 150; 2 350; 1 950; 1 150;  700;  400;  100;–
Kreis 5; 19 850; 1 400; 1 000; 3 400; 5 050; 2 700; 2 350; 1 700; 1 300;  750;  200;–
Gewerbeschule; 10 550;  650;  550; 1 800; 2 750; 1 400; 1 150;  800;  750;  500;  150;–
Escher Wyss; 9 300;  700;  500; 1 600; 2 300; 1 300; 1 200;  900;  550;  250;  50;–
Kreis 6; 40 600; 3 500; 3 500; 7 400; 8 100; 5 600; 4 500; 3 450; 2 700; 1 500;  300;–
Unterstrass; 28 750; 2 650; 2 650; 5 350; 5 800; 3 900; 3 050; 2 350; 1 800; 1 000;  200;–
Oberstrass; 11 850;  900;  850; 2 100; 2 300; 1 700; 1 400; 1 100;  900;  500;  100;–
Kreis 7; 45 150; 4 100; 3 850; 5 950; 7 000; 6 050; 5 450; 4 650; 4 000; 2 850; 1 200;  100
Fluntern; 10 250;  950; 1 000; 1 400; 1 350; 1 300; 1 250; 1 250; 1 000;  600;  200;–
Hottingen; 12 800; 1 200;  950; 1 850; 2 400; 1 800; 1 450; 1 200; 1 000;  700;  250;–
Hirslanden; 8 550;  650;  500; 1 100; 1 700; 1 300; 1 000;  700;  650;  550;  350;  50
Witikon; 13 550; 1 300; 1 400; 1 600; 1 550; 1 750; 1 800; 1 500; 1 300;  950;  400;  50
Kreis 8; 19 900; 1 450; 1 500; 2 950; 3 800; 2 750; 2 450; 2 000; 1 550; 1 050;  350;–
Seefeld; 6 100;  550;  500; 1 000; 1 300;  750;  650;  550;  450;  250;  50;–
Mühlebach; 7 050;  450;  400;  900; 1 400; 1 050; 1 000;  800;  550;  350;  100;–
Weinegg; 6 750;  500;  550; 1 050; 1 100;  950;  800;  650;  550;  450;  200;–
Kreis 9; 68 550; 5 600; 5 450; 9 450; 11 800; 10 250; 10 350; 7 400; 4 550; 2 800;  850;  50
Albisrieden; 26 600; 2 150; 2 100; 3 750; 4 350; 3 500; 3 750; 3 200; 2 050; 1 300;  500;–
Altstetten; 41 950; 3 400; 3 350; 5 700; 7 450; 6 750; 6 650; 4 250; 2 500; 1 500;  400;–
Kreis 10; 46 450; 3 850; 3 600; 7 000; 8 150; 6 150; 5 550; 4 900; 3 750; 2 450;  950;  50
Höngg; 28 000; 2 550; 2 600; 4 150; 3 900; 3 700; 3 450; 3 100; 2 400; 1 550;  550;  50
Wipkingen; 18 500; 1 350; 1 000; 2 900; 4 200; 2 450; 2 100; 1 850; 1 350;  900;  400;  50
Kreis 11; 96 600; 8 450; 8 000; 17 600; 17 850; 13 950; 11 650; 8 600; 6 050; 3 550;  850;  50
Affoltern; 32 000; 3 200; 3 150; 5 850; 5 350; 4 450; 3 450; 2 850; 2 050; 1 250;  250;–
Oerlikon; 28 850; 2 050; 1 900; 6 150; 6 050; 4 000; 3 400; 2 350; 1 600; 1 000;  300;–
Seebach; 35 800; 3 200; 2 950; 5 600; 6 400; 5 500; 4 800; 3 400; 2 350; 1 300;  250;–
Kreis 12; 45 150; 4 150; 4 250; 7 800; 7 250; 6 400; 5 550; 4 150; 2 950; 2 000;  650;  50
Saatlen; 12 450; 1 200; 1 350; 2 000; 2 150; 1 950; 1 550; 1 150;  700;  350;  50;–
Schwamendingen-Mitte; 14 400; 1 250; 1 200; 2 950; 2 700; 2 100; 1 700; 1 150;  800;  500;  100;–
Hirzenbach; 18 300; 1 700; 1 700; 2 850; 2 450; 2 300; 2 300; 1 850; 1 450; 1 150;  500;  50
