;Total;0 – 9;10 – 19;20 – 29;30 – 39;40 – 49;50 – 59;60 – 69;70 – 79;80 – 89;90 – 99;100 und älter
Ganze Stadt; 491 350; 45 850; 40 750; 77 700; 101 000; 76 000; 57 500; 42 500; 27 500; 17 400; 5 000;  150
Kreis 1; 5 900;  300;  300; 1 150; 1 300;  800;  600;  650;  450;  350;  100;–
Kreis 2; 41 450; 4 950; 4 300; 4 650; 7 550; 7 300; 4 850; 3 450; 2 250; 1 600;  550;–
Wollishofen; 23 250; 2 850; 2 450; 2 150; 4 000; 4 350; 2 800; 1 950; 1 350;  950;  300;–
Leimbach; 7 500;  900; 1 000;  950; 1 100; 1 150;  850;  700;  450;  300;  100;–
Enge; 10 700; 1 250;  850; 1 550; 2 450; 1 750; 1 150;  800;  450;  400;  100;–
Kreis 3; 55 400; 4 900; 4 500; 9 150; 12 850; 8 200; 6 350; 4 400; 2 800; 1 700;  550;–
Alt-Wiedikon; 19 750; 1 800; 1 350; 3 600; 5 250; 2 900; 2 100; 1 400;  800;  450;  100;–
Friesenberg; 12 900; 1 250; 1 650; 1 750; 1 800; 1 700; 1 750; 1 350;  900;  550;  200;–
Sihlfeld; 22 750; 1 850; 1 450; 3 800; 5 800; 3 600; 2 500; 1 650; 1 100;  700;  250;–
Kreis 4; 31 250; 2 200; 1 350; 5 750; 8 950; 5 100; 3 450; 2 450; 1 350;  600;  100;–
Werd; 4 800;  450;  250;  800; 1 400;  750;  500;  350;  200;  100;–;–
Langstrasse; 12 350;  600;  200; 2 350; 4 050; 2 050; 1 350; 1 050;  450;  150;–;–
Hard; 14 100; 1 150;  900; 2 600; 3 550; 2 300; 1 550; 1 050;  650;  300;  50;–
Kreis 5; 17 850; 1 350; 1 000; 2 950; 4 650; 3 000; 2 200; 1 550;  800;  350;  100;–
Gewerbeschule; 10 100;  650;  500; 1 750; 2 700; 1 450; 1 200;  950;  500;  250;  50;–
Escher Wyss; 7 800;  650;  450; 1 150; 2 000; 1 550; 1 000;  600;  250;  100;–;–
Kreis 6; 38 150; 3 500; 3 350; 6 700; 7 950; 5 450; 4 350; 3 350; 2 050; 1 200;  200;–
Unterstrass; 26 800; 2 650; 2 450; 4 650; 5 800; 3 850; 2 950; 2 250; 1 350;  750;  150;–
Oberstrass; 11 350;  900;  900; 2 050; 2 150; 1 600; 1 400; 1 150;  700;  450;  100;–
Kreis 7; 42 750; 3 900; 3 850; 5 550; 6 700; 6 000; 5 550; 4 550; 3 200; 2 550;  850;  50
Fluntern; 9 550;  850; 1 050; 1 250; 1 200; 1 350; 1 350; 1 100;  750;  550;  150;–
Hottingen; 12 050; 1 050; 1 000; 1 750; 2 150; 1 650; 1 550; 1 250;  850;  600;  150;–
Hirslanden; 8 050;  650;  500; 1 100; 1 600; 1 150;  950;  800;  550;  450;  200;–
Witikon; 13 100; 1 350; 1 250; 1 450; 1 800; 1 850; 1 700; 1 350; 1 050;  950;  350;–
Kreis 8; 18 950; 1 550; 1 450; 2 550; 3 650; 3 050; 2 450; 1 900; 1 250;  800;  250;–
Seefeld; 6 000;  550;  500;  800; 1 300;  950;  800;  550;  350;  200;  50;–
Mühlebach; 6 750;  500;  450;  850; 1 350; 1 150;  950;  700;  450;  300;  50;–
Weinegg; 6 250;  500;  500;  950; 1 000;  950;  750;  650;  450;  350;  100;–
Kreis 9; 65 650; 6 600; 5 250; 8 700; 13 400; 11 650; 7 900; 5 400; 3 700; 2 400;  700;–
Albisrieden; 25 850; 2 700; 2 450; 3 100; 4 550; 4 500; 3 300; 2 150; 1 600; 1 150;  350;–
Altstetten; 39 800; 3 900; 2 800; 5 600; 8 850; 7 100; 4 600; 3 250; 2 100; 1 250;  350;–
Kreis 10; 44 000; 4 000; 3 850; 6 350; 7 950; 6 750; 5 450; 4 250; 2 800; 1 900;  700;  50
Höngg; 26 450; 2 550; 2 600; 3 750; 4 050; 3 950; 3 300; 2 650; 1 850; 1 250;  450;–
Wipkingen; 17 550; 1 450; 1 200; 2 600; 3 850; 2 800; 2 150; 1 600;  950;  650;  250;–
Kreis 11; 90 100; 8 600; 7 800; 16 950; 18 550; 13 150; 10 000; 7 250; 4 600; 2 600;  650;–
Affoltern; 30 100; 3 050; 3 250; 5 600; 5 100; 4 100; 3 500; 2 550; 1 700; 1 000;  200;–
Oerlikon; 26 950; 2 150; 1 850; 5 850; 6 300; 3 900; 2 750; 2 000; 1 150;  700;  250;–
Seebach; 33 050; 3 400; 2 700; 5 450; 7 100; 5 150; 3 750; 2 700; 1 700;  900;  200;–
Kreis 12; 39 950; 4 100; 3 800; 7 250; 7 450; 5 600; 4 350; 3 350; 2 300; 1 350;  400;–
Saatlen; 10 600; 1 150; 1 350; 1 900; 1 800; 1 550; 1 200;  850;  450;  250;  50;–
Schwamendingen-Mitte; 13 300; 1 200; 1 000; 2 750; 2 850; 1 800; 1 400; 1 100;  800;  400;  100;–
Hirzenbach; 16 050; 1 700; 1 500; 2 600; 2 850; 2 200; 1 800; 1 400; 1 050;  700;  250;–
